Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
08-Jul-16,677.8,692.3395913,395976,19485,9.28,0.035520587,3.552058666,0.031123084,,
11-Jul-16,683.25,686.2680617,55961,3096,19.78,0.00804072,0.804071998,0.03112457,,
12-Jul-16,682.7,688.5143469,40601,2955,18.81,-0.000804976,-0.080497622,0.031090958,,
13-Jul-16,670.05,677.7553121,19719,1450,16.58,-0.018529369,-1.852936868,0.031178264,,
14-Jul-16,690.4,685.8122814,56036,3726,16.97,0.030370868,3.037086785,0.031082742,,
15-Jul-16,683.8,688.0813769,54819,3139,32.19,-0.009559676,-0.955967555,0.030993741,,
18-Jul-16,689.85,701.0270702,124639,7535,11.21,0.008847616,0.884761626,0.030946526,,
19-Jul-16,687.9,692.0159136,30540,2160,17.76,-0.002826701,-0.282670146,0.030886709,,
20-Jul-16,690.1,690.3908302,17514,892,49.55,0.003198139,0.319813926,0.030886099,,
21-Jul-16,670.85,676.0397852,85861,3734,27.42,-0.027894508,-2.789450804,0.031046416,,
22-Jul-16,652.6,658.9770838,47041,3483,31.39,-0.027204293,-2.720429306,0.031218295,,
25-Jul-16,659.75,660.8941815,30231,1889,20.33,0.010956175,1.09561753,0.031218415,,
26-Jul-16,649.5,658.0552038,12952,855,36.84,-0.015536188,-1.553618795,0.03128406,,
27-Jul-16,651.25,650.7676912,20236,1640,22.31,0.00269438,0.269438029,0.031248739,,
28-Jul-16,650.45,654.093215,26927,1805,9.48,-0.001228407,-0.122840691,0.031247842,,
29-Jul-16,644.25,647.5237554,21111,1789,9.85,-0.009531863,-0.953186256,0.031277407,,
01-Aug-16,642.4,644.5965515,12817,1130,24.26,-0.002871556,-0.287155607,0.031277586,,
02-Aug-16,626.7,633.8859008,30789,2182,25.1,-0.024439601,-2.443960149,0.031414569,,
03-Aug-16,620.55,624.8372604,15024,842,23.21,-0.009813308,-0.98133078,0.031432874,,
04-Aug-16,658.1,649.5832408,67569,3654,15.83,0.060510837,6.051083716,0.032019572,,
05-Aug-16,669.15,667.3760034,23670,1875,25.67,0.016790761,1.679076128,0.03204275,,
08-Aug-16,666.05,669.1277533,12258,927,28.63,-0.004632743,-0.463274303,0.032025966,,
09-Aug-16,662.4,668.3714976,9101,834,21.65,-0.005480069,-0.548006906,0.032007097,,
10-Aug-16,646.9,654.4531892,7306,482,36.75,-0.023399758,-2.339975845,0.032133493,,
11-Aug-16,648.55,651.3366089,12415,733,34.11,0.002550626,0.255062606,0.032127719,,
12-Aug-16,650.35,657.0838773,39677,2449,21.91,0.002775422,0.27754221,0.032102673,,
16-Aug-16,654.95,654.5127262,3261,338,43.88,0.007073114,0.707311448,0.032103789,,
17-Aug-16,650.6,653.8456217,5059,296,49.12,-0.006641728,-0.664172838,0.032102476,,
