Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
07-June-2016,200,210.9,200,209.8,205.9060058,6382200,58804,1314133310,1412557,22.13,10.9,9.8
08-June-2016,210.55,211.85,207.5,210.4,210.2178551,2900015,26079,609634933,432231,14.9,4.35,-0.15
09-June-2016,210,212.8,208.65,210,210.5885232,2650120,22802,558084857,469360,17.71,4.15,0
10-June-2016,209.05,211.5,205.5,206.2,208.2494541,2497938,21608,520194225,496405,19.87,6,-2.85
13-June-2016,200.8,204,200.3,202.2,201.7183486,1673001,14828,337474999,276273,16.51,3.7,1.4
14-June-2016,204.1,208.25,204,207.55,206.1061108,1969658,16443,405958550,263121,13.36,4.25,3.45
15-June-2016,209.9,217.4,208.55,215.65,213.8037911,5696454,43650,1217923461,905325,15.89,8.85,5.75
16-June-2016,216.2,218.5,213.1,215.7,215.7738951,5088435,38037,1097951440,714761,14.05,5.4,-0.5
17-June-2016,216.9,217.65,211.6,213.4,214.7670431,2647601,21118,568617438,622993,23.53,6.05,-3.5
20-June-2016,208,216.6,208,215.8,213.8480041,2736791,22450,585257293,416306,15.21,8.6,7.8
21-June-2016,215.15,217.55,213.2,213.9,215.4575449,1893257,13568,407916505,361189,19.08,4.35,-1.25
22-June-2016,214,215.3,211.6,212.8,213.4636144,1497501,12091,319661976,298925,19.96,3.7,-1.2
23-June-2016,213.3,217.95,212.9,217.4,215.8852396,2164301,18887,467240640,604982,27.95,5.05,4.1
24-June-2016,207,212,202.55,211.25,207.9295395,6277616,43677,1305301804,1253234,19.96,9.45,4.25
27-June-2016,211.25,218.7,210.35,217.1,216.4199951,3435350,23651,743478430,567663,16.52,8.35,5.85
28-June-2016,217.4,218.65,215.7,216.3,216.8902343,1742439,14904,377918003,287993,16.53,2.95,-1.1
29-June-2016,217.65,218.7,216.2,217.2,217.5312084,1575472,12853,342714328,257506,16.34,2.5,-0.45
30-June-2016,220,221.8,217.9,218.65,220.0747679,2125658,18603,467803691,465541,21.9,3.9,-1.35
01-July-2016,220.5,220.95,218.9,219.65,219.9482078,1369667,10474,301255802,288917,21.09,2.05,-0.85
04-July-2016,221.65,224.4,221.65,222.85,223.1365507,1694016,13429,377996887,491729,29.03,2.75,1.2
05-July-2016,223,225,221.7,223,223.5457808,1479156,13376,330659083,446265,30.17,3.3,0
07-July-2016,223.5,224.75,219.25,220.5,222.4091819,1203631,11221,267698586,293186,24.36,5.5,-3
08-July-2016,220.95,221,216.55,218.4,218.1721589,1468887,11752,320470248,337276,22.96,4.45,-2.55
11-July-2016,223.05,225.35,222,224.6,223.6174511,1864141,15329,416854459,656361,35.21,3.35,1.55
12-July-2016,224.6,227.1,224.05,226.45,225.9379129,1584372,12810,357969703,414673,26.17,3.05,1.85
13-July-2016,227.75,228.4,224.05,227.2,226.8608175,2011848,16991,456409482,332203,16.51,4.35,-0.55
14-July-2016,227.2,232.8,226.1,231.75,230.6592448,2271813,24205,524014671,578899,25.48,6.7,4.55
15-July-2016,233,234.45,230.9,231.5,232.467544,1457142,12037,338738222,304920,20.93,3.55,-1.5
18-July-2016,232.4,233.85,228,228.6,231.4562801,1644047,12638,380525003,444679,27.05,5.85,-3.8
19-July-2016,229.05,232,226.8,229.7,229.8446258,2947098,18229,677374637,984840,33.42,5.2,0.65
20-July-2016,231.9,232.5,229.45,230.9,231.2384551,1885839,13435,436078497,639702,33.92,3.05,-1
21-July-2016,231.9,232.1,224.2,225.6,228.8635748,1360277,12720,311317857,342879,25.21,7.9,-6.3
22-July-2016,225.55,225.65,222.15,223.45,223.8010387,1820228,12795,407368917,686207,37.7,3.5,-2.1
25-July-2016,223.95,231,222.7,229.85,228.7177403,2884964,14680,659842447,1139993,39.51,8.3,5.9
26-July-2016,230,232,225.5,226.5,229.2331146,1659171,14795,380336936,493197,29.73,6.5,-3.5
27-July-2016,227.15,230.95,226.8,228.65,228.5100546,2325398,14157,531376824,753346,32.4,4.15,1.5
