tweet,created
"Nirav Modi, Linked To $1.6 Billion Fraud,
Oh no again its okay we people of #India simply habituated to these kind… https://t.co/Ra74J2AIFV",21-12-2017
"All SBI customers can now avail a Quick Photo Debit Card in a matter of a few minutes, at the sbiINTOUCH branches.… https://t.co/WYXPWsW5rT",05-12-2017
A next year scenerio: #NIRAVMODI drinking kingfisher and enjoying the sunday morning somewhere in this world. We th… https://t.co/rlazU6VlZN,05-01-2018
5/5 #Review on #StateBankOfIndia by Chandnimaratha https://t.co/Sdhjv1NCcg,01-12-2017
5/5 #Review on #StateBankOfIndia by preetr715 https://t.co/bU3PpLLYSc,11-01-2018
Another worst experiences in Vizag today. Almost ran 8/9 ATM’s in and around RTC complex and None ATMs either unabl… https://t.co/PqbMD1jZ2B,22-12-2017
"Worst experience in ATM’s at Aruku, AP. Only few are there and None of them was either unable to dispense money or… https://t.co/sP3qsjzDwz",23-01-2018
"Looking at the number of bank employees being exposed...

Banks need to focus first on  KYE (Know Your Employees)..… https://t.co/rmIDay7SBw",29-01-2018
"#Opinion: #ArundhatiBhattacharya, the first woman to head the country’s largest bank, #StateBankofIndia, seamlessly… https://t.co/MNi8nEamXe",29-12-2017
1/5 #Review on #StateBankOfIndia by benlitapinto1 https://t.co/bp1kAWi4li,20-01-2018
4/5 #Review on #StateBankOfIndia by amit1001 https://t.co/Tm9e0WZFY4,06-12-2017
#SBI #statebankofindia . i will ask my friend also to close there account. and i will do the same.,12-12-2017
Don’t lose your tempo now! #SBIGreenQuizathon continues at the same pace. RSVP: https://t.co/kHLcBLMb6V… https://t.co/fhGy12Dvos,03-01-2018
3/5 #Review on #StateBankOfIndia by saurabhr158 https://t.co/OsaF7lzdEc,24-01-2018
3/5 #Review on #StateBankOfIndia by littlecharu18 https://t.co/fGMhvKR8YU,01-02-2018
4/5 #Review on #StateBankOfIndia by siddhuk14 https://t.co/KW3AjQkIFy,25-01-2018
5/5 #Review on #StateBankOfIndia by prashantchaube76 https://t.co/bHXAfrvOzp,23-12-2017
"#NiravModiCase: After #UnionBank's $300 million, #StateBankofIndia discloses $212-mn exposure through… https://t.co/494eKvgwTV",28-01-2018
"RT @asheeshs77: #Statebankofindia,#Sbi ,#RBIGov
Is there any account closing charges in SBI Bank...??????
#AndheriMIDC branch...#statebanko…",07-12-2017
"#Statebankofindia,#Sbi ,#RBIGov
Is there any account closing charges in SBI Bank...??????
#AndheriMIDC branch...#statebankofindia",27-01-2018
RT @avidandiya: Don't forget #statebankofindia which has given maximum LOC's to diamond merchants on rigged books @ArvindKejriwal,18-12-2017
"Relationship status :
In a one sided love with SBI link 😰😰😰😰#StateBankOfIndia",08-01-2018
Don't forget #statebankofindia which has given maximum LOC's to diamond merchants on rigged books @ArvindKejriwal,21-12-2017
Hope other banks in India such as #statebankofindia #allahabadbank #Bankofbaroda #centralbankofindia take note of… https://t.co/CDrPyZe0lp,19-01-2018
"Sir we are not responsible for any money withdrawal while we take your “REQUEST” to block your card !! 

What is th… https://t.co/hVqMEYzvNs",27-01-2018
The worst customer service. I have been trying to transfer CIF for 3 months. Still It is not transferred.#sbi… https://t.co/vvt9SnFkSn,07-12-2017
We’ve reached the halfway mark of the #SBIGreenQuizathon. Time to work on your second win! RSVP:… https://t.co/Fspf4d68qC,09-12-2017
#StateBankofIndia leads the financial nexus between merchandise and bankers SECTIONS of the society ; which have a… https://t.co/Bup9Ng0Ie1,09-12-2017
We’ve reached a million answer views on our Quora platform. Thank you for your esteemed support and continue to eng… https://t.co/xTlfIibCb6,23-12-2017
#DidYouKnow Every 24 hours SBI ATMs serve over 60 Lakh people! Thank you for making us the Banker to every Indian!… https://t.co/DwbuMmjawx,21-12-2017
"@dksharma74  We represent SBI Credit Cards only. For banking related queries/feedbacks, please contact SBI Branch.… https://t.co/OHyHbnBnYU",20-01-2018
